reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart
78,80,162,0,0,0,6,0.0693508,,0.0164354,0.0693508,1.0091085,1.0091085,1.0757331,32.2344089,t,31.2166505,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
49,60,89,0,1,1,4,32.2560539,,32.2363165,32.2560539,33.2429043,33.2429043,33.2593737,49.7944233,t,16.5369224,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
40,55,62,0,2,2,3,49.8109845,,49.795525,49.8109845,50.8094563,50.8094563,50.8257201,57.1444955,t,6.323409,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
67,75,119,0,3,3,5,57.1593956,,57.1457016,57.1593956,58.159513,58.159513,58.159513,60.4781775,t,2.3165545,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
27,50,21,0,4,4,2,60.4929089,,60.4794519,60.4929089,61.4927894,61.4927894,61.4927894,65.5113497,l,4.0076413,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
15,35,13,0,5,5,1,65.528577,,65.5125485,65.528577,66.5257367,66.5257367,66.5429117,72.7446406,l,6.2141678,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
11,30,7,0,6,6,0,72.7592929,,72.7458416,72.7592929,73.7595083,73.7595083,73.7595083,75.2618076,l,1.4992382,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
49,60,89,1,0,7,4,75.2759646,,75.263051,75.2759646,76.2758378,76.2758378,76.2758378,78.011299,t,1.7219927,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
67,75,119,1,1,8,5,78.0257914,,78.0125062,78.0257914,79.0261547,79.0261547,79.0261547,80.4447443,t,1.4060084,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
27,50,21,1,2,9,2,80.4597117,,80.4459353,80.4597117,81.4596025,81.4596025,81.4596025,83.3949911,l,1.9201056,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
40,55,62,1,3,10,3,83.4094767,,83.3962085,83.4094767,84.4096373,84.4096373,84.4096373,87.6276814,t,3.2054908,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
15,35,13,1,4,11,1,87.6430133,,87.6289787,87.6430133,88.6427697,88.6427697,88.6427697,91.5944213,l,2.9428083,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
11,30,7,1,5,12,0,91.6095673,,91.5955359,91.6095673,92.6096955,92.6096955,92.6096955,94.1448754,l,1.5262521,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
78,80,162,1,6,13,6,94.1597316,,94.1461157,94.1597316,95.1595511,95.1595511,95.1595511,96.7445645,t,1.5819252,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
40,55,62,2,0,14,3,96.7597766,,96.7458108,96.7597766,97.7595856,97.7595856,97.7595856,99.1948531,t,1.4189732,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
67,75,119,2,1,15,5,99.2094211,,99.1959498,99.2094211,100.2096401,100.2096401,100.2096401,101.0277417,t,0.8111826,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
15,35,13,2,2,16,1,101.0428343,,101.0290772,101.0428343,102.0429061,102.0429061,102.0429061,103.0610358,l,1.0014889,None,2,1,2024-11-19_17h58.20.517,delay discounting,2024.1.5,None,2024-11-19 17h58.28.683945 +0530
