reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
78,80,162,0,0,0,6,0.06864160002442077,,0.01836320001166314,0.06864160002442077,1.0092202000087127,1.0092202000087127,1.0755153000354767,3.3679065000033006,t,2.3458803999819793,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
15,35,13,0,1,1,1,3.385481700010132,,3.3698350000195205,3.385481700010132,4.375851700024214,4.375851700024214,4.392727300000843,7.778305499989074,l,3.4002848000382073,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,0,2,2,0,7.7926989999832585,,7.779528199986089,7.7926989999832585,8.792570499994326,8.792570499994326,8.792570499994326,10.260974600038026,l,1.462542699999176,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
67,75,119,0,3,3,5,10.277043499983847,,10.262179900018964,10.277043499983847,11.275687200017273,11.275687200017273,11.275687200017273,12.944464600004721,t,1.6540467999875546,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,0,4,4,4,12.95956520002801,,12.94571460003499,12.95956520002801,13.959347299998626,13.959347299998626,13.959347299998626,21.027463200036436,l,7.057938800018746,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
40,55,62,0,5,5,3,21.042657700018026,,21.02864460001001,21.042657700018026,22.04282080003759,22.04282080003759,22.04282080003759,23.394673700036947,t,1.3432886999798939,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
27,50,21,0,6,6,2,23.409458599984646,,23.395862200006377,23.409458599984646,24.409382199984975,24.409382199984975,24.409382199984975,26.1622139000101,l,1.7506565999938175,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
78,80,162,1,0,7,6,26.17582649999531,,26.163768300029915,26.17582649999531,27.175653200014494,27.175653200014494,27.175653200014494,29.97802129999036,t,2.796598899993114,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
11,30,7,1,1,8,0,29.992690499988385,,29.97963770001661,29.992690499988385,30.992771500023082,30.992771500023082,30.992771500023082,32.561905000009574,l,1.5637535999994725,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
49,60,89,1,2,9,4,32.57571760000428,,32.56303060002392,32.57571760000428,33.57579249999253,33.57579249999253,33.57579249999253,42.07861880003475,l,8.500665300001856,None,003,001,2024-11-19_21h46.18.225,delay discounting,2024.1.5,None,2024-11-19 21h46.33.761299 +0530,
